rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_decisiontreeregressor__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
141,0.23372926712036132,0.01199074555121213,0.06350855827331543,0.006779488005894704,158,24,"{'columntransformer__countvectorizer__max_features': 158, 'decisiontreeregressor__max_depth': 24}",-0.11599998610174461,-0.11672877735587016,-0.11409225540202791,-0.1168584777840487,-0.11263303015948008,-0.11526250536063429,0.0016446631377229862,-0.031809807585219535,-0.04109760018565409,-0.035236116400951506,-0.03446049212056371,-0.04029937436824938,-0.03658067813212764,0.0035579636671025624
142,0.24696083068847657,0.02344592699381434,0.05595135688781738,0.007587282414296892,151,22,"{'columntransformer__countvectorizer__max_features': 151, 'decisiontreeregressor__max_depth': 22}",-0.11930001207120625,-0.1143906986394999,-0.11207582477764254,-0.1167320168482388,-0.11399666208351227,-0.11529904288401996,0.002488838636645864,-0.03715162588795581,-0.04607724566941502,-0.03975679372745309,-0.03996143093774921,-0.04500157726760412,-0.041589734698035445,0.0033907603862638603
143,0.24883451461791992,0.015546079151140391,0.06685762405395508,0.012974545733761304,318,27,"{'columntransformer__countvectorizer__max_features': 318, 'decisiontreeregressor__max_depth': 27}",-0.11358991677236331,-0.11383965290706387,-0.11817265888040662,-0.11451100708461694,-0.11661884268269868,-0.11534641566542989,0.001769759932460692,-0.02774152504054652,-0.03328452840098958,-0.03074759097040615,-0.0283965757054354,-0.03620168943299228,-0.031274381910073985,0.0031419549088580944
144,0.24585766792297364,0.018563482037757397,0.07133207321166993,0.009645298969552959,211,24,"{'columntransformer__countvectorizer__max_features': 211, 'decisiontreeregressor__max_depth': 24}",-0.11248887679564532,-0.1181152782594187,-0.11833994260232211,-0.11637961589571252,-0.11163482943303339,-0.1153917085972264,0.002815189151962517,-0.035155927703004096,-0.0406752012616302,-0.036773063956397574,-0.03521799594788931,-0.04034191761033196,-0.037632821295850626,0.002420778581840863
145,0.2378221035003662,0.013278996207585013,0.06071271896362305,0.0038351725351115393,254,24,"{'columntransformer__countvectorizer__max_features': 254, 'decisiontreeregressor__max_depth': 24}",-0.1210364541664932,-0.1169839191998705,-0.10958491942395558,-0.11386761095915104,-0.11599107405060434,-0.11549279556001493,0.003761598259639255,-0.03564026518478674,-0.040557952008883416,-0.036837998264622265,-0.03631527412662604,-0.04115437920537989,-0.03810117375805967,0.0022890584834839973
146,0.2560103416442871,0.012202224848219539,0.05980019569396973,0.00807359807108379,344,26,"{'columntransformer__countvectorizer__max_features': 344, 'decisiontreeregressor__max_depth': 26}",-0.11374501141746607,-0.11273260096760171,-0.1167601027985396,-0.12079271301025941,-0.11365374688227385,-0.11553683501522811,0.0029577362588364534,-0.02897819880184074,-0.03467687368329229,-0.03311268169261713,-0.03026640897874877,-0.037501944008273315,-0.03290722143295445,0.0030560257788069386
147,0.2587863922119141,0.023150561368450433,0.06383094787597657,0.016128426100180473,435,25,"{'columntransformer__countvectorizer__max_features': 435, 'decisiontreeregressor__max_depth': 25}",-0.11516849329346096,-0.11197434391561134,-0.11891605991060435,-0.11619955678422446,-0.11544022262582618,-0.11553973530594545,0.002222371318696765,-0.032921658455231755,-0.03714431782127569,-0.03440303844853216,-0.03295982135670941,-0.04062333430296542,-0.035610434076942886,0.002939218751888403
148,0.25211153030395506,0.019804685339464688,0.05425481796264649,0.008882758300955515,412,21,"{'columntransformer__countvectorizer__max_features': 412, 'decisiontreeregressor__max_depth': 21}",-0.11481163524361626,-0.1129328806984139,-0.1194491752071225,-0.11831422728338724,-0.11252522568410835,-0.11560662882332966,0.0028061447313417285,-0.04271377297090739,-0.04778093111930041,-0.04454688879922313,-0.044243892357682,-0.048725367087627924,-0.04560217046694817,0.0022716836939656294
149,0.2616086483001709,0.007389898029909409,0.058852863311767575,0.008905820988003943,363,25,"{'columntransformer__countvectorizer__max_features': 363, 'decisiontreeregressor__max_depth': 25}",-0.11271111098949917,-0.11373644115087242,-0.1172409584811049,-0.11874190438802239,-0.11580316409527883,-0.11564671582095554,0.0022096697956622995,-0.03311789583367253,-0.03739656204846698,-0.03492176998457816,-0.033296743882243,-0.040600482200280695,-0.03586669078984827,0.00282144159367763
150,0.2459716320037842,0.014538942980903996,0.05975894927978516,0.01605149761831116,339,24,"{'columntransformer__countvectorizer__max_features': 339, 'decisiontreeregressor__max_depth': 24}",-0.11651142321620722,-0.11340102424766244,-0.11514534220504162,-0.11985519486434897,-0.11418942403414799,-0.11582048171348165,0.0022683142334363037,-0.03497890029311154,-0.04046935559001177,-0.03703721859090222,-0.03627584209370022,-0.041081809370275835,-0.037968625187600316,0.00239236519356467
151,0.23751511573791503,0.013588787744026568,0.06733140945434571,0.0100555072532019,210,29,"{'columntransformer__countvectorizer__max_features': 210, 'decisiontreeregressor__max_depth': 29}",-0.11293079702707844,-0.11263634612634715,-0.11952509493476687,-0.11749207511949111,-0.11659888505998665,-0.11583663965353404,0.002668782008075657,-0.024306111348115025,-0.030786510693076804,-0.026432199325228452,-0.022631549102443093,-0.03116538198182443,-0.027064350490137563,0.0034155574149698988
