rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_randomforestregressor__max_depth,param_randomforestregressor__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
47,9.060782670974731,0.08578286750269856,0.12064919471740723,0.010501288925109362,356,76,575,"{'columntransformer__countvectorizer__max_features': 356, 'randomforestregressor__max_depth': 76, 'randomforestregressor__n_estimators': 575}",-0.09668335519844354,-0.095297481074643,-0.09051451007890435,-0.10161658537960962,-0.09355375693595719,-0.09553313773351155,0.00367400167168266,-0.0340491277015993,-0.034317762724688894,-0.03435075006360988,-0.033795020465575185,-0.03421836692384281,-0.03414620557586322,0.00020456424823638703
48,13.49864354133606,0.11434835831515236,0.14581069946289063,0.007285758889305592,247,98,925,"{'columntransformer__countvectorizer__max_features': 247, 'randomforestregressor__max_depth': 98, 'randomforestregressor__n_estimators': 925}",-0.09719287903231567,-0.09500400244840544,-0.09066154469751656,-0.10093913640656224,-0.09387247935976749,-0.09553400838891349,0.0034278199525168535,-0.03402934794672083,-0.033969647239027595,-0.034178187833362836,-0.0336752209926169,-0.03401342614341657,-0.03397316603102894,0.0001646783844613594
49,4.602446460723877,0.0615767895882703,0.08322234153747558,0.012885439171929915,397,88,282,"{'columntransformer__countvectorizer__max_features': 397, 'randomforestregressor__max_depth': 88, 'randomforestregressor__n_estimators': 282}",-0.09701284167003608,-0.09418762189542244,-0.09052192779526463,-0.1014894907678451,-0.09447417401395337,-0.09553721122850432,0.003625234456353054,-0.03380353543308714,-0.03401757185681242,-0.0341612950248466,-0.033872857284060205,-0.03428028277971058,-0.034027108475703394,0.00017661967092506522
50,13.902619695663452,0.15887056720830559,0.16571297645568847,0.009838367194387002,286,71,927,"{'columntransformer__countvectorizer__max_features': 286, 'randomforestregressor__max_depth': 71, 'randomforestregressor__n_estimators': 927}",-0.09670836640066383,-0.09502972752149898,-0.09050372354254765,-0.10113335463050767,-0.0943210307169832,-0.09553924056244026,0.00345719649011269,-0.03415529232840078,-0.0345225057059778,-0.03479265963052107,-0.03385913432174866,-0.03442892186793742,-0.03435170277091715,0.0003196185609902634
51,4.119420003890991,0.042501112341222225,0.10302524566650391,0.017975193771439243,304,52,280,"{'columntransformer__countvectorizer__max_features': 304, 'randomforestregressor__max_depth': 52, 'randomforestregressor__n_estimators': 280}",-0.09671155053870834,-0.0952403393181457,-0.09069990398670683,-0.10147903784399452,-0.0935706778130295,-0.09554030190011698,0.0035788058494327026,-0.03598528805315358,-0.0373305728554441,-0.03764992010373668,-0.03573189636373284,-0.036899262646163986,-0.03671938800444624,0.0007464361025029481
52,9.872057056427002,0.16674809200361326,0.1288166046142578,0.009881860226511259,359,45,704,"{'columntransformer__countvectorizer__max_features': 359, 'randomforestregressor__max_depth': 45, 'randomforestregressor__n_estimators': 704}",-0.0969680647061843,-0.09492639730691807,-0.09058423443988411,-0.10128714463079784,-0.09396353081492155,-0.09554587437974119,0.0035352579344076433,-0.03791001312318371,-0.039743083757922064,-0.04010000228059242,-0.037637564576807565,-0.03953882218484055,-0.03898589718466926,0.0010095360382346389
53,9.008894968032838,0.16189729836938638,0.1265030860900879,0.01878478015764417,221,90,618,"{'columntransformer__countvectorizer__max_features': 221, 'randomforestregressor__max_depth': 90, 'randomforestregressor__n_estimators': 618}",-0.0970867689133386,-0.09497101793164886,-0.09064769432898458,-0.10143108051385123,-0.09360588331893917,-0.09554848900135249,0.003608217456998432,-0.03387970945834669,-0.03392257481157436,-0.034191556035054686,-0.033704101330465364,-0.03404501494765347,-0.03394859131661891,0.00016341743682336563
54,2.319767951965332,0.058909917962313006,0.07477693557739258,0.008052267908125429,435,98,131,"{'columntransformer__countvectorizer__max_features': 435, 'randomforestregressor__max_depth': 98, 'randomforestregressor__n_estimators': 131}",-0.09707650489018085,-0.0947990271609942,-0.09055885682389758,-0.10209511761054652,-0.09321415153071129,-0.09554873160326609,0.0039012929177962884,-0.03421882522813271,-0.03431043816536632,-0.034266905240753334,-0.034133658921539994,-0.034186273523660216,-0.03422322021589051,6.151577283578928e-05
55,9.014686775207519,0.09854517224168576,0.13243918418884276,0.008231271340697583,310,70,603,"{'columntransformer__countvectorizer__max_features': 310, 'randomforestregressor__max_depth': 70, 'randomforestregressor__n_estimators': 603}",-0.09698702412632264,-0.0948976855207083,-0.09081421535725252,-0.10093357484065728,-0.09412424676119852,-0.09555134932122786,0.0033446629116125246,-0.034267620199283956,-0.034602709969973444,-0.03486725774282857,-0.033892837403648284,-0.03458043712629034,-0.034442172488404914,0.00033401329422294476
56,2.7277832508087156,0.06970331030058294,0.0734227180480957,0.0128928657294652,235,89,175,"{'columntransformer__countvectorizer__max_features': 235, 'randomforestregressor__max_depth': 89, 'randomforestregressor__n_estimators': 175}",-0.09645543514165245,-0.09492003256118338,-0.09103839361148403,-0.10154227054892914,-0.09384784118465975,-0.09556079460958174,0.003474919634202509,-0.03398969813255527,-0.03437742975820433,-0.03443012370619975,-0.03366084339090691,-0.033982921375086135,-0.034088203272590475,0.00028424832521165645
