rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
11,0.24097905158996583,0.019640559678292414,0.055709552764892575,0.009401490150863657,396,10.0,"{'columntransformer__countvectorizer__max_features': 396, 'ridge__alpha': 10.0}",-0.09312692197370431,-0.09693762756109363,-0.08351065853000465,-0.09957506036805602,-0.08481547214781222,-0.09159314811613417,0.006417014499322887,-0.07859690902076817,-0.07844455065943247,-0.08042620923893047,-0.07812613838637325,-0.08105557926616808,-0.07932987731433448,0.0011789846587121797
12,0.2524683952331543,0.03199361573731833,0.062022972106933597,0.005547731139320504,400,10.0,"{'columntransformer__countvectorizer__max_features': 400, 'ridge__alpha': 10.0}",-0.09313167294772953,-0.09693326733962929,-0.08351847743014139,-0.09957004709290919,-0.08484397535754637,-0.09159948803359115,0.006407281606172465,-0.07857239084357553,-0.0784360453068749,-0.08037531925301804,-0.07811719178753848,-0.08103736522684536,-0.07930766248357046,0.0011704122284769923
13,0.20898585319519042,0.01413505759896692,0.07019753456115722,0.012928543398641223,430,10.0,"{'columntransformer__countvectorizer__max_features': 430, 'ridge__alpha': 10.0}",-0.09313167294772953,-0.09693326733962929,-0.08351847743014139,-0.09961320987600575,-0.08484041178190951,-0.0916074078750831,0.006418785875753991,-0.07857239084357553,-0.0784360453068749,-0.08037531925301804,-0.07801951719209207,-0.08098674113545157,-0.07927800274620242,0.0011759640109880842
13,0.2472546100616455,0.008971657002759459,0.05529727935791016,0.0065661469994305706,425,10.0,"{'columntransformer__countvectorizer__max_features': 425, 'ridge__alpha': 10.0}",-0.09313167294772953,-0.09693326733962929,-0.08351847743014139,-0.09961320987600575,-0.08484041178190951,-0.0916074078750831,0.006418785875753991,-0.07857239084357553,-0.0784360453068749,-0.08037531925301804,-0.07801951719209207,-0.08098674113545157,-0.07927800274620242,0.0011759640109880842
15,0.22597780227661132,0.009340328229506445,0.06708378791809082,0.010876290945097903,377,10.0,"{'columntransformer__countvectorizer__max_features': 377, 'ridge__alpha': 10.0}",-0.09312245781807586,-0.09699367583201361,-0.08357995821676426,-0.09953358858114668,-0.08484598539784473,-0.09161513316916903,0.006391996291464778,-0.07870653126821746,-0.07855769580366112,-0.08056754688044801,-0.0782535604627475,-0.08118701276756458,-0.07945446943652774,0.0011871347527227355
16,0.2414092540740967,0.017107864225344677,0.059272241592407224,0.012053208494803768,354,10.0,"{'columntransformer__countvectorizer__max_features': 354, 'ridge__alpha': 10.0}",-0.09312450313817063,-0.0970294373408316,-0.08362193994795775,-0.09957105439071463,-0.08492917007346289,-0.09165522097822751,0.006379259754495551,-0.07882866376296349,-0.07871245997837603,-0.08070559754756236,-0.07838716010372106,-0.0813771902055288,-0.07960221431963035,0.0012028627471413458
17,0.23623900413513182,0.009643994542771246,0.05610446929931641,0.007682385734143241,359,10.0,"{'columntransformer__countvectorizer__max_features': 359, 'ridge__alpha': 10.0}",-0.09312949200162231,-0.09704450833434909,-0.08361670148911042,-0.0995503285338014,-0.0849424863670189,-0.09165670334518042,0.006375409118193558,-0.07880862422946366,-0.07868897453953606,-0.08067406700159499,-0.07835867813059905,-0.08133924985882295,-0.07957391875200334,0.0011976920990892574
18,0.22513461112976074,0.015643053468045974,0.055346441268920896,0.01140127945717422,329,10.0,"{'columntransformer__countvectorizer__max_features': 329, 'ridge__alpha': 10.0}",-0.09316170528378147,-0.09717296311777121,-0.08368598820869289,-0.09967392764958481,-0.08497711704422911,-0.0917343402608119,0.0064045151845642904,-0.07900932129930825,-0.07886256148134392,-0.08082985698188935,-0.07854250773347536,-0.08155685826234588,-0.07976022115167256,0.001202039529932764
19,0.25792441368103025,0.015775725228189034,0.0719264030456543,0.019374750614112222,192,1.0,"{'columntransformer__countvectorizer__max_features': 192, 'ridge__alpha': 1.0}",-0.08970635559355389,-0.09933854880396915,-0.08545319582710861,-0.09814180402781324,-0.08605204591076314,-0.0917383900326416,0.00591157278189608,-0.0748314860904166,-0.07370487690986165,-0.07639635123475234,-0.0746969410364263,-0.07674104332283006,-0.0752741397188574,0.001131622833564653
20,0.2356534481048584,0.010333221393597122,0.057934236526489255,0.009508593663605205,319,10.0,"{'columntransformer__countvectorizer__max_features': 319, 'ridge__alpha': 10.0}",-0.09319011480869077,-0.09719774371392761,-0.08370705883384946,-0.09968338855675447,-0.08497350673293283,-0.09175036252923104,0.0064078117820503995,-0.07908637137513023,-0.07891446455981953,-0.08087393424345406,-0.07857881824249484,-0.08160708824262541,-0.07981213533270481,0.001200240814112859
