rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_svr__C,param_svr__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
40,0.3517268180847168,0.0177179987595204,0.07654132843017578,0.003068086113105098,250,0.13191110283999083,0.10656215907960478,"{'columntransformer__countvectorizer__max_features': 250, 'svr__C': 0.13191110283999083, 'svr__gamma': 0.10656215907960478}",-0.11071812283114144,-0.10969054428297803,-0.09698945329529009,-0.1189119532084954,-0.09604415374999581,-0.10647084547358014,0.008738417305030256,-0.08384601857195577,-0.08463458981070053,-0.08710508097432157,-0.08234813243798973,-0.08728650200538242,-0.08504406476007001,0.0019051166957866645
41,0.7611786842346191,0.010790967254904815,0.07804813385009765,0.008492077972363054,160,1708.9014581052515,0.012289177503183762,"{'columntransformer__countvectorizer__max_features': 160, 'svr__C': 1708.9014581052515, 'svr__gamma': 0.012289177503183762}",-0.10206931431837361,-0.10907366979824278,-0.10203561049941329,-0.11318171915513375,-0.10642258636594452,-0.10655658002742159,0.004261945159056105,-0.02885273522391443,-0.02848416436065554,-0.02876257453238412,-0.02854859121468023,-0.028858151555325697,-0.028701243377392004,0.00015604963872163535
42,1.3133253574371337,0.04393832871284965,0.0794604778289795,0.011996099788854481,223,4660.207139328414,0.005301605851373888,"{'columntransformer__countvectorizer__max_features': 223, 'svr__C': 4660.207139328414, 'svr__gamma': 0.005301605851373888}",-0.10091956103231087,-0.11415146799699112,-0.10148294197486382,-0.11463342390990182,-0.10741622730787441,-0.1077207244443884,0.005905901268068853,-0.028810371490567446,-0.028729764949247744,-0.029020668418557664,-0.02873413921809704,-0.02897062218801877,-0.028853113252897734,0.00012089629158066996
43,3.1496599197387694,0.14163486200195005,0.0782865047454834,0.0032833247112676583,186,5193.607079698028,0.0020040250173208496,"{'columntransformer__countvectorizer__max_features': 186, 'svr__C': 5193.607079698028, 'svr__gamma': 0.0020040250173208496}",-0.10079996448544594,-0.11177932986197295,-0.10565172486571768,-0.11364575359373578,-0.10708706267257086,-0.10779276709588866,0.004563584173541466,-0.029708581014640693,-0.029651247380743876,-0.029417913592019496,-0.02950603705906514,-0.029588465521058212,-0.029574448913505486,0.00010321761391650911
44,1.095467758178711,0.039800956635508734,0.07316823005676269,0.003518591986243592,151,1166.4508737742108,0.00787349937749258,"{'columntransformer__countvectorizer__max_features': 151, 'svr__C': 1166.4508737742108, 'svr__gamma': 0.00787349937749258}",-0.10313517831365825,-0.11006526442460672,-0.10526287019608055,-0.11521936689193119,-0.10863056168603365,-0.10846264830246206,0.004168221103739624,-0.0289859483691336,-0.028736619640394978,-0.028579265492431262,-0.02877679408906943,-0.02904034184863011,-0.028823793887931874,0.00016899086471712255
45,0.3466047763824463,0.010332148879139118,0.0842400074005127,0.015007067975363012,196,0.08433936855448027,0.10174849000016441,"{'columntransformer__countvectorizer__max_features': 196, 'svr__C': 0.08433936855448027, 'svr__gamma': 0.10174849000016441}",-0.11348406786789886,-0.11240407107016526,-0.09938454870221758,-0.12184210313423441,-0.0977211200256459,-0.1089671821600324,0.009124459759216249,-0.09270178954092793,-0.09360879865214053,-0.09655288247860673,-0.09143168000760409,-0.09654339185745185,-0.09416770850734622,0.0020630112383067545
46,0.3349484443664551,0.013521176003677469,0.08894033432006836,0.01820683591885483,207,0.5254081252625634,0.0015457459699343258,"{'columntransformer__countvectorizer__max_features': 207, 'svr__C': 0.5254081252625634, 'svr__gamma': 0.0015457459699343258}",-0.11482476554472562,-0.11422478178641454,-0.10136096673121701,-0.1195322503849164,-0.09925589879335552,-0.10983973264812581,0.008024102685565599,-0.10516242562129575,-0.10525247712665649,-0.10931055635973111,-0.10444110520679514,-0.10900559268801631,-0.10663443140049897,0.0020818899620216524
47,0.3307178497314453,0.009307389988065299,0.08218903541564941,0.007446644302289432,200,0.0844969227081577,0.012395394752300929,"{'columntransformer__countvectorizer__max_features': 200, 'svr__C': 0.0844969227081577, 'svr__gamma': 0.012395394752300929}",-0.11414621946749279,-0.11368009221969481,-0.10120658376682082,-0.12089595217492058,-0.0996238554547738,-0.10991054061674055,0.008178074567810344,-0.10450458266369739,-0.10480189549575784,-0.10872533382971311,-0.10330262991440767,-0.10845086756179341,-0.1059570618930739,0.002207827469488775
48,0.34183516502380373,0.016914879722608037,0.07959833145141601,0.008573642080787643,232,0.046677019952932775,0.02108318602970307,"{'columntransformer__countvectorizer__max_features': 232, 'svr__C': 0.046677019952932775, 'svr__gamma': 0.02108318602970307}",-0.11593376742193312,-0.11542317173625373,-0.1026908266762901,-0.12297765955265245,-0.10094628366978906,-0.11159434181138368,0.008434740066764087,-0.10619167438412914,-0.10676025975634805,-0.11074710805175239,-0.1051206125480274,-0.1104447177834545,-0.10785287450474228,0.002302732621703592
49,0.7658138751983643,0.051096593485689415,0.08710718154907227,0.01665062630215679,109,1551.8548830334785,0.021746146218792253,"{'columntransformer__countvectorizer__max_features': 109, 'svr__C': 1551.8548830334785, 'svr__gamma': 0.021746146218792253}",-0.10864326875732554,-0.1161036298878664,-0.10343760368885574,-0.12317609851355334,-0.11033474837595425,-0.11233906984471105,0.006760554010424122,-0.029122116492034916,-0.028713614931949363,-0.028895361083504222,-0.02895028870174699,-0.028804462812242235,-0.028897168804295548,0.0001383566974127874
