rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_svr__C,param_svr__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
47,0.23810286521911622,0.008171312063046,0.048317766189575194,0.010112584252399087,240,0.6159843235168415,202.12362532502263,"{'columntransformer__countvectorizer__max_features': 240, 'svr__C': 0.6159843235168415, 'svr__gamma': 202.12362532502263}",-0.003105684085674021,-0.0006679831918328105,-0.012662733704958073,-0.017492177516054808,-0.0057051913660250975,-0.007926753972908962,0.006241708742135631
48,0.25920610427856444,0.0172017344914211,0.05857534408569336,0.00427448530592313,379,1.9177594617393376,3.0938758096451413,"{'columntransformer__countvectorizer__max_features': 379, 'svr__C': 1.9177594617393376, 'svr__gamma': 3.0938758096451413}",-0.007101777268420761,-0.003137174090159567,-0.005332506029892103,-0.011712628867991404,-0.012543962177606227,-0.007965609686814012,0.003633034431443143
49,0.21984658241271973,0.01161275138340483,0.04304318428039551,0.0026698376939911284,324,15.855059934625963,2.095458446458717,"{'columntransformer__countvectorizer__max_features': 324, 'svr__C': 15.855059934625963, 'svr__gamma': 2.095458446458717}",-0.007240479864587979,-0.0031587820895624397,-0.005155850002105389,-0.011566561951780185,-0.012752545885633682,-0.007974843958733935,0.0036717119528045894
50,0.2343297004699707,0.009513533132647262,0.04685864448547363,0.008651454142490592,214,102.03893518461526,2.2862033526925667,"{'columntransformer__countvectorizer__max_features': 214, 'svr__C': 102.03893518461526, 'svr__gamma': 2.2862033526925667}",-0.0072447668773873986,-0.003166397185274006,-0.005164366506595464,-0.011557472403733282,-0.012758890383788524,-0.007978378671355734,0.0036681117956767046
51,0.27181367874145507,0.016503237678419522,0.05278234481811524,0.007224721569374542,261,4515.079282411627,2.461377626415975,"{'columntransformer__countvectorizer__max_features': 261, 'svr__C': 4515.079282411627, 'svr__gamma': 2.461377626415975}",-0.007252736205591193,-0.003169038613144437,-0.00516766303364502,-0.011567897851343156,-0.012763647766175668,-0.007984196693979895,0.00366986948503917
52,0.23724050521850587,0.01116574093912759,0.05664801597595215,0.007694963523899224,388,794.4665279926453,3.7039634614495203,"{'columntransformer__countvectorizer__max_features': 388, 'svr__C': 794.4665279926453, 'svr__gamma': 3.7039634614495203}",-0.007261096668296663,-0.003173648181765909,-0.0051667919404148055,-0.011563687796239952,-0.012769940229055532,-0.007987032963154572,0.003669279975512402
53,0.2167741298675537,0.03245889624441264,0.04520812034606934,0.011240438640156633,225,1217.368037195969,9275.933937057644,"{'columntransformer__countvectorizer__max_features': 225, 'svr__C': 1217.368037195969, 'svr__gamma': 9275.933937057644}",-0.007261833611218682,-0.0031739862961108756,-0.00516614741021848,-0.011562921053675623,-0.012770294988812436,-0.00798703667200722,0.0036692042424458825
53,0.21413373947143555,0.02909546386327797,0.047301435470581056,0.006501225665823087,328,1914.960065384996,62.96836384869444,"{'columntransformer__countvectorizer__max_features': 328, 'svr__C': 1914.960065384996, 'svr__gamma': 62.96836384869444}",-0.007261833611218682,-0.0031739862961108756,-0.00516614741021848,-0.011562921053675623,-0.012770294988812436,-0.00798703667200722,0.0036692042424458825
53,0.22515382766723632,0.01793908311033996,0.053758764266967775,0.011007057800205446,264,5610.766328258851,85.21236704725882,"{'columntransformer__countvectorizer__max_features': 264, 'svr__C': 5610.766328258851, 'svr__gamma': 85.21236704725882}",-0.007261833611218682,-0.0031739862961108756,-0.00516614741021848,-0.011562921053675623,-0.012770294988812436,-0.00798703667200722,0.0036692042424458825
53,0.2297041416168213,0.020992875152457076,0.051549005508422854,0.005564337597917792,437,10.835496053935005,7074.793836504569,"{'columntransformer__countvectorizer__max_features': 437, 'svr__C': 10.835496053935005, 'svr__gamma': 7074.793836504569}",-0.007261833611218682,-0.0031739862961108756,-0.00516614741021848,-0.011562921053675623,-0.012770294988812436,-0.00798703667200722,0.0036692042424458825
