rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_kneighborsregressor__leaf_size,param_kneighborsregressor__n_neighbors,param_kneighborsregressor__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
68,0.11505932807922363,0.011371543087910305,0.037969541549682614,0.004541421212889719,158,66.49893096322256,71,uniform,"{'columntransformer__countvectorizer__max_features': 158, 'kneighborsregressor__leaf_size': 66.49893096322256, 'kneighborsregressor__n_neighbors': 71, 'kneighborsregressor__weights': 'uniform'}",0.11541369322632,0.12697949776524242,0.11594128237440748,0.08655970204658037,0.1250833862438986,0.11399551233128977,0.014491692583968893
69,0.09333910942077636,0.01277513442535736,0.03788328170776367,0.00644925945997702,223,481.31465863340594,7,uniform,"{'columntransformer__countvectorizer__max_features': 223, 'kneighborsregressor__leaf_size': 481.31465863340594, 'kneighborsregressor__n_neighbors': 7, 'kneighborsregressor__weights': 'uniform'}",0.1654431534392088,0.1910092693186779,0.12146775328596382,0.06267138341348266,0.02458441898480579,0.11303519568842779,0.06206079552838328
70,0.12486257553100585,0.010267763205318008,0.049764156341552734,0.010606679199401052,296,200.7845313194307,72,uniform,"{'columntransformer__countvectorizer__max_features': 296, 'kneighborsregressor__leaf_size': 200.7845313194307, 'kneighborsregressor__n_neighbors': 72, 'kneighborsregressor__weights': 'uniform'}",0.10958666533278605,0.1264553047822935,0.11762817739875564,0.08009509615378063,0.1282566266927192,0.112404374072067,0.01748050119595529
71,0.0968855381011963,0.004326749061777076,0.040660429000854495,0.00731718139302941,160,142.83943295733152,75,uniform,"{'columntransformer__countvectorizer__max_features': 160, 'kneighborsregressor__leaf_size': 142.83943295733152, 'kneighborsregressor__n_neighbors': 75, 'kneighborsregressor__weights': 'uniform'}",0.1104781950573428,0.12548239359315783,0.11744066760598182,0.08571903299182704,0.11927954566634946,0.11167996698293178,0.013833731222025192
72,0.09480037689208984,0.008927131978481953,0.04367551803588867,0.0112375242061388,132,242.2006181484364,85,distance,"{'columntransformer__countvectorizer__max_features': 132, 'kneighborsregressor__leaf_size': 242.2006181484364, 'kneighborsregressor__n_neighbors': 85, 'kneighborsregressor__weights': 'distance'}",0.11703349654885631,0.12036333428337742,0.11274583697472718,0.08061827155546897,0.12142261644718266,0.11043671116192251,0.015213263565431658
73,0.10185589790344238,0.008820215371407841,0.03570642471313477,0.004088907020959642,209,254.321634059052,76,uniform,"{'columntransformer__countvectorizer__max_features': 209, 'kneighborsregressor__leaf_size': 254.321634059052, 'kneighborsregressor__n_neighbors': 76, 'kneighborsregressor__weights': 'uniform'}",0.10514016168818774,0.12812219613467069,0.1136058039249519,0.0814012716590592,0.12221114202975458,0.11009611508732482,0.01632168437965483
74,0.12424678802490234,0.017861832880532353,0.058085966110229495,0.00860112352110749,276,376.6277537739769,76,uniform,"{'columntransformer__countvectorizer__max_features': 276, 'kneighborsregressor__leaf_size': 376.6277537739769, 'kneighborsregressor__n_neighbors': 76, 'kneighborsregressor__weights': 'uniform'}",0.10834416238450018,0.1207806772167429,0.11162495108446124,0.0786643206002684,0.12628148348772683,0.1091391189547399,0.016522174146406034
75,0.09670147895812989,0.006274471430983564,0.04618387222290039,0.007951493326152399,151,438.3476037696914,83,distance,"{'columntransformer__countvectorizer__max_features': 151, 'kneighborsregressor__leaf_size': 438.3476037696914, 'kneighborsregressor__n_neighbors': 83, 'kneighborsregressor__weights': 'distance'}",0.11402934353780281,0.12263845223426428,0.10839149877000265,0.07864535074466894,0.12186735532661275,0.10911440012267029,0.016115707102634998
76,0.09329733848571778,0.006005050005310426,0.037781381607055665,0.005479390918230896,198,176.9700286167159,77,uniform,"{'columntransformer__countvectorizer__max_features': 198, 'kneighborsregressor__leaf_size': 176.9700286167159, 'kneighborsregressor__n_neighbors': 77, 'kneighborsregressor__weights': 'uniform'}",0.10706366485680008,0.12469651459010356,0.11324033994406557,0.07750494170099353,0.1224834564732783,0.1089977835130482,0.016981476485075715
77,0.11425971984863281,0.011821005120325426,0.03956866264343262,0.0038636322378885787,374,227.14525736445196,79,uniform,"{'columntransformer__countvectorizer__max_features': 374, 'kneighborsregressor__leaf_size': 227.14525736445196, 'kneighborsregressor__n_neighbors': 79, 'kneighborsregressor__weights': 'uniform'}",0.10680843179454058,0.11714823011985287,0.11055208024583196,0.07866747543688979,0.1292369014464696,0.10848262380871695,0.016744320913575653
78,0.09760746955871583,0.010864143604126306,0.03962349891662598,0.006837703398780404,315,12.720486431042339,89,distance,"{'columntransformer__countvectorizer__max_features': 315, 'kneighborsregressor__leaf_size': 12.720486431042339, 'kneighborsregressor__n_neighbors': 89, 'kneighborsregressor__weights': 'distance'}",0.10894178032561852,0.11861988604697704,0.10789830553995028,0.07980109822960602,0.12484926285138742,0.10802206659870786,0.015445080489355082
79,0.11192593574523926,0.011620000716423601,0.06470813751220703,0.013686684837787363,207,246.56590342387858,90,distance,"{'columntransformer__countvectorizer__max_features': 207, 'kneighborsregressor__leaf_size': 246.56590342387858, 'kneighborsregressor__n_neighbors': 90, 'kneighborsregressor__weights': 'distance'}",0.10615423428589965,0.1169151606178167,0.11024789267877066,0.0795963934191336,0.12700522156514915,0.10798378051335396,0.01584867161367413
80,0.11063203811645508,0.016311760575734583,0.03932080268859863,0.007951373941037088,328,453.7256944009555,89,distance,"{'columntransformer__countvectorizer__max_features': 328, 'kneighborsregressor__leaf_size': 453.7256944009555, 'kneighborsregressor__n_neighbors': 89, 'kneighborsregressor__weights': 'distance'}",0.10919651538728836,0.11765027976991282,0.1094214747378468,0.07844182393376242,0.1246958433912766,0.1078811874440174,0.01580472407814437
81,0.13286204338073732,0.016731466031931257,0.04571237564086914,0.003620842960727179,229,434.7618437741729,79,uniform,"{'columntransformer__countvectorizer__max_features': 229, 'kneighborsregressor__leaf_size': 434.7618437741729, 'kneighborsregressor__n_neighbors': 79, 'kneighborsregressor__weights': 'uniform'}",0.10503507083782404,0.11974329716157772,0.1106698560721654,0.07779187683325572,0.11989811421228014,0.1066276430234206,0.015482267103481604
82,0.09651498794555664,0.010527635710680074,0.045279645919799806,0.004648650900762908,138,461.04298675095583,90,distance,"{'columntransformer__countvectorizer__max_features': 138, 'kneighborsregressor__leaf_size': 461.04298675095583, 'kneighborsregressor__n_neighbors': 90, 'kneighborsregressor__weights': 'distance'}",0.11072796243673777,0.1157407877697596,0.106170677215632,0.07967996883966422,0.12072486370340796,0.10660885199304031,0.014317666384634609
83,0.12297945022583008,0.018137044340223098,0.04355945587158203,0.010405596853865091,212,346.6715954373764,80,uniform,"{'columntransformer__countvectorizer__max_features': 212, 'kneighborsregressor__leaf_size': 346.6715954373764, 'kneighborsregressor__n_neighbors': 80, 'kneighborsregressor__weights': 'uniform'}",0.10345381401005704,0.12155233195999537,0.10989525305895431,0.07511165723232838,0.11863271354782956,0.10572915396183294,0.016594212674997888
84,0.10853056907653809,0.012110153003012868,0.041329050064086915,0.005918954807165768,400,154.11620946377934,83,uniform,"{'columntransformer__countvectorizer__max_features': 400, 'kneighborsregressor__leaf_size': 154.11620946377934, 'kneighborsregressor__n_neighbors': 83, 'kneighborsregressor__weights': 'uniform'}",0.10371038538907562,0.11396627950256089,0.10377836892687808,0.07894708220593416,0.12687169960913736,0.10545476312671723,0.01574573833334692
